adr_id,reviewer_id,C1,C2,C3,C4,C5,C6,C7,Q1,Q2,Q3,Q4,Q5,Q6,Q7,sc_score,dq_score,sc_class,dq_class,overall,notes
adr_madr_0000-use-markdown-architectural-decision-records,,,,,,,,,,,,,,,,,,,,,
adr_madr_0001-use-CC0-or-MIT-as-license,,,,,,,,,,,,,,,,,,,,,
adr_madr_0003-provide-own-madr-tools,,,,,,,,,,,,,,,,,,,,,
adr_madr_0004-write-own-toc-tool,,,,,,,,,,,,,,,,,,,,,
adr_madr_0005-use-dashes-in-filenames,,,,,,,,,,,,,,,,,,,,,
adr_madr_0007-do-not-emphasize-line-headings,,,,,,,,,,,,,,,,,,,,,
adr_madr_0008-add-status-field,,,,,,,,,,,,,,,,,,,,,
adr_madr_0009-support-links-between-adrs-inside-an-adrs,,,,,,,,,,,,,,,,,,,,,
adr_madr_0010-support-categories,,,,,,,,,,,,,,,,,,,,,
adr_madr_0011-use-asterisk-as-list-marker,,,,,,,,,,,,,,,,,,,,,
adr_madr_0012-use-curly-braces-to-denote-placeholder,,,,,,,,,,,,,,,,,,,,,
adr_madr_0014-allow-neutral-arguments,,,,,,,,,,,,,,,,,,,,,
adr_madr_0015-include-consulting-informed-of-raci,,,,,,,,,,,,,,,,,,,,,
adr_madr_0016-outcome-before-detailed-pros-cons,,,,,,,,,,,,,,,,,,,,,
adr_madr_0017-use-same-format-for-outcomes-and-options,,,,,,,,,,,,,,,,,,,,,
adr_madr_0018-use-confirmation-as-heading,,,,,,,,,,,,,,,,,,,,,
adr_madr_adr-template,,,,,,,,,,,,,,,,,,,,,
alphagov_content-publisher_0001-record-architecture-decisions,,,,,,,,,,,,,,,,,,,,,
alphagov_content-publisher_0002-use-local-datastore,,,,,,,,,,,,,,,,,,,,,
alphagov_content-publisher_0003-initial-domain-modelling,,,,,,,,,,,,,,,,,,,,,
alphagov_content-publisher_0004-editing-microcopy,,,,,,,,,,,,,,,,,,,,,
alphagov_content-publisher_0005-avoiding-initialisation-flickers,,,,,,,,,,,,,,,,,,,,,
alphagov_content-publisher_0006-tagging-governments,,,,,,,,,,,,,,,,,,,,,
alphagov_content-publisher_0007-minimal-model,,,,,,,,,,,,,,,,,,,,,
alphagov_content-publisher_0008-restricted-deletion,,,,,,,,,,,,,,,,,,,,,
alphagov_content-publisher_0009-modelling-history,,,,,,,,,,,,,,,,,,,,,
alphagov_content-publisher_0010-sending-email-notifications,,,,,,,,,,,,,,,,,,,,,
